07/04/2026 - 19:38:20 (-3 TMZ) | 06:00:03:20 (Artemis Clock) | and plus X flange heaters are on, and prop avionics are configured.
07/04/2026 - 19:48:30 (-3 TMZ) | 06:00:13:30 (Artemis Clock) | images in there in imagery for downlink for PhotoTV subfolder. If PhotoTV could take a look and hopefully give us a thumbs up, and if not, give us feedback, that would be appreciated.
07/04/2026 - 19:48:35 (-3 TMZ) | 06:00:13:35 (Artemis Clock) | We will get those down and take a look and get back to you.
07/04/2026 - 19:49:17 (-3 TMZ) | 06:00:14:17 (Artemis Clock) | That call from Commander Reid Wiseman down to CAPCOM Stan Love here in Mission Control Houston about some photos that they are sending down. We continue to get photos from the crew aboard Orion, and you can see all the latest ones on NASA social media. That is @NASA or @NASAArtemis, and you can also find those photos.
07/04/2026 - 19:49:23 (-3 TMZ) | 06:00:14:23 (Artemis Clock) | Photos at images.nasa.gov.
07/04/2026 - 19:49:52 (-3 TMZ) | 06:00:14:52 (Artemis Clock) | control and life support systems, and you do not want anything clogging up your fans for those life support systems, so tortillas are often the preferred, essentially, bread of choice.
07/04/2026 - 19:50:29 (-3 TMZ) | 06:00:15:29 (Artemis Clock) | view from the Orion spacecraft, and you can track Orion at any time by visiting nasa.gov slash track Artemis. That's our ARO website, which stands for Artemis Real-Time Orbit website. It's a very useful tool telling you exactly how far Orion is away from Earth and the moon. Currently, the spacecraft is 200.
07/04/2026 - 19:55:35 (-3 TMZ) | 06:00:20:35 (Artemis Clock) | Again, this is Artemis Mission Control at Johnson Space Center in Houston, Texas. We are monitoring the flight of Orion, the first flight of humans aboard the spacecraft.
07/04/2026 - 19:55:55 (-3 TMZ) | 06:00:20:55 (Artemis Clock) | As we get closer to our return, now three days and fifty-eight minutes away.
07/04/2026 - 19:56:16 (-3 TMZ) | 06:00:21:16 (Artemis Clock) | translunar injection burn set us up for a free return trajectory harnessing the moon's gravity and Earth's gravitational pull to bring us back for that splashdown.
07/04/2026 - 20:03:51 (-3 TMZ) | 06:00:28:51 (Artemis Clock) | Johnson Space Center in Houston, Texas.
07/04/2026 - 20:03:57 (-3 TMZ) | 06:00:28:57 (Artemis Clock) | Next major milestone on the crew's timeline will be the RTC-3 burn. We are now just one hour away from ignition of that burn. This is a 1.4 foot per second burn.
07/04/2026 - 20:04:08 (-3 TMZ) | 06:00:29:08 (Artemis Clock) | Again, that's relatively small and so this is a trajectory correction burn, as is in the name. These are just small refinements for our trajectory that was set during the trans-lunar injection burn back on Flight Day 2.
07/04/2026 - 20:12:10 (-3 TMZ) | 06:00:37:10 (Artemis Clock) | Checking in from Artemis Mission Control here at Johnson Space Center in Houston, we are now a mission elapsed time of six days and 36 minutes since the launch of Artemis II.
07/04/2026 - 20:12:30 (-3 TMZ) | 06:00:37:30 (Artemis Clock) | are living and working aboard the spacecraft as the first crew to fly aboard Orion. They're testing all spacecraft systems and conducting other demos to help prepare for future missions to the moon.
07/04/2026 - 20:17:46 (-3 TMZ) | 06:00:42:46 (Artemis Clock) | Integrity Houston, two minutes to start field maneuvers, and we have a couple of other words for you.
07/04/2026 - 20:18:27 (-3 TMZ) | 06:00:43:27 (Artemis Clock) | to the pad. However, right after the burn, we're going to change the active burn plan to the plan in slot four, which is nominal PLS RTC last.
07/04/2026 - 20:18:47 (-3 TMZ) | 06:00:43:47 (Artemis Clock) | That makes sense. We're expecting that soon. Sounds great.
07/04/2026 - 20:19:08 (-3 TMZ) | 06:00:44:08 (Artemis Clock) | Welcome back, we are still here, they are in space.
07/04/2026 - 20:19:13 (-3 TMZ) | 06:00:44:13 (Artemis Clock) | And Stan, while we have you, there's a new photo in PAO for downlink on PCD-2.
07/04/2026 - 20:19:19 (-3 TMZ) | 06:00:44:19 (Artemis Clock) | Copy, we'll go look for the photo on PCD2.
07/04/2026 - 20:19:44 (-3 TMZ) | 06:00:44:44 (Artemis Clock) | Those communications coming from Commander Reid Wiseman aboard the Orion spacecraft about some photos that we hope to be able to show you soon. The crew has been great about providing us with beautiful imagery.
07/04/2026 - 20:19:50 (-3 TMZ) | 06:00:44:50 (Artemis Clock) | You can find those images at images.nasa.gov.
07/04/2026 - 20:20:57 (-3 TMZ) | 06:00:45:57 (Artemis Clock) | Houston Integrity, are we okay for secondary purge line?
07/04/2026 - 20:21:02 (-3 TMZ) | 06:00:46:02 (Artemis Clock) | Checking.
07/04/2026 - 20:21:07 (-3 TMZ) | 06:00:46:07 (Artemis Clock) | At Integrity we are go for secondary line.
07/04/2026 - 20:22:31 (-3 TMZ) | 06:00:47:31 (Artemis Clock) | You're looking at a live view from the Orion spacecraft and a camera mounted on one of its solar array wings. As you can see, some of the light changing outside of the spacecraft.
07/04/2026 - 20:22:52 (-3 TMZ) | 06:00:47:52 (Artemis Clock) | These cameras are exactly what we used to observe lunar flyby yesterday, and of course we got some beautiful images down from the crew inside the Orion spacecraft.
07/04/2026 - 20:27:50 (-3 TMZ) | 06:00:52:50 (Artemis Clock) | Integrity starfield maneuvers complete.
07/04/2026 - 20:28:10 (-3 TMZ) | 06:00:53:10 (Artemis Clock) | We copy, Stan. Thank you.
07/04/2026 - 20:31:51 (-3 TMZ) | 06:00:56:51 (Artemis Clock) | Teams are continuing to monitor the flight of Orion coming up on the return trajectory correction burn 1. This is again a very short burn. It will be 1.4 feet per second. And that's coming up in about 31 minutes.
07/04/2026 - 20:31:57 (-3 TMZ) | 06:00:56:57 (Artemis Clock) | Before then, the team here on the ground will have a final burn conference with the crew.
07/04/2026 - 20:33:29 (-3 TMZ) | 06:00:58:29 (Artemis Clock) | We had an extremely busy day yesterday and therefore got some time off, especially scheduled for after this burn.
07/04/2026 - 20:33:54 (-3 TMZ) | 06:00:58:54 (Artemis Clock) | See good targeting, go to burn the onboard. Also, MCC has pulled go for RTC-1, and a reminder, there's a one-hour forward link LOS right about the time of the burn, so we can watch but not call or command during that period.
07/04/2026 - 20:34:00 (-3 TMZ) | 06:00:59:00 (Artemis Clock) | And correction, we're still a go for the burn.
07/04/2026 - 20:34:21 (-3 TMZ) | 06:00:59:21 (Artemis Clock) | As per the burn plaid, and we'll talk to you on the other side of that burn then, or after that.
07/04/2026 - 20:34:24 (-3 TMZ) | 06:00:59:24 (Artemis Clock) | Loss of return, or loss of forward.
07/04/2026 - 20:34:27 (-3 TMZ) | 06:00:59:27 (Artemis Clock) | Roger. Stand by for final go.
07/04/2026 - 20:35:30 (-3 TMZ) | 06:01:00:30 (Artemis Clock) | And integrity, MCC is go for the burn.
07/04/2026 - 20:35:33 (-3 TMZ) | 06:01:00:33 (Artemis Clock) | Okay, we copy, you're still go, and we're go up here.
07/04/2026 - 20:35:57 (-3 TMZ) | 06:01:00:57 (Artemis Clock) | Recapping a little bit of those communications between Capcom Stan Love and the crew aboard the Orion spacecraft, specifically Canadian Space Agency astronaut Jeremy Hansen.
07/04/2026 - 20:36:23 (-3 TMZ) | 06:01:01:23 (Artemis Clock) | minutes. That will be at 7:03 PM Central Time. Again, a very small fine-tuning of the spacecraft's trajectory ahead of splashdown, now three days and 17 minutes from now.
07/04/2026 - 20:36:48 (-3 TMZ) | 06:01:01:48 (Artemis Clock) | communications to Orion or the crew.
07/04/2026 - 20:36:51 (-3 TMZ) | 06:01:01:51 (Artemis Clock) | However, we will still be getting communications and data from the spacecraft.
07/04/2026 - 20:37:10 (-3 TMZ) | 06:01:02:10 (Artemis Clock) | Known loss of signal, which was to fly the Orion spacecraft behind the moon when they were unreachable from Earth for 40 minutes.
07/04/2026 - 20:37:57 (-3 TMZ) | 06:01:02:57 (Artemis Clock) | Crew's day, they had their daily planning conference with the team, getting a read on any of the spacecraft systems and asking any questions before they started their workday. First thing on their schedule today was the ship-to-ship call with the International Space Station. It was wonderful to hear both
07/04/2026 - 20:38:02 (-3 TMZ) | 06:01:03:02 (Artemis Clock) | voices of the space station crew and the crew aboard Orion talking to each other.
07/04/2026 - 20:38:28 (-3 TMZ) | 06:01:03:28 (Artemis Clock) | from both crew members at a later date. After that ship-to-ship call, the crew got to talk with the science team here on the ground during the post-lunar flyby conference. This was scheduled specifically for this morning while the flyby was fresh in their memories to get to talk with
07/04/2026 - 20:38:54 (-3 TMZ) | 06:01:03:54 (Artemis Clock) | You can find those on NASA’s social media or at images.nasa.gov. Since that post-lunar flyby, it’s been a little bit more relaxed for the crew. Christina had some opportunistic science imaging when she was able to take pictures of the Earth and the Moon from the spacecraft’s...
07/04/2026 - 20:39:00 (-3 TMZ) | 06:01:04:00 (Artemis Clock) | Current point.
07/04/2026 - 20:39:26 (-3 TMZ) | 06:01:04:26 (Artemis Clock) | The crew members have also completed their exercise for the day and their midday meal. After this RTC-1 burn, again 7:03 p.m. Central Time,
07/04/2026 - 20:39:46 (-3 TMZ) | 06:01:04:46 (Artemis Clock) | This is configured for exercise, so Christina can begin during the LOS.
07/04/2026 - 20:40:07 (-3 TMZ) | 06:01:05:07 (Artemis Clock) | Thank you. Great words.
07/04/2026 - 20:40:44 (-3 TMZ) | 06:01:05:44 (Artemis Clock) | Before that crew call, just remarking that the astronauts that have not exercised yet today will do that later this afternoon.
07/04/2026 - 20:41:04 (-3 TMZ) | 06:01:06:04 (Artemis Clock) | day-by-day.
07/04/2026 - 20:42:36 (-3 TMZ) | 06:01:07:36 (Artemis Clock) | On board.
07/04/2026 - 20:42:52 (-3 TMZ) | 06:01:07:52 (Artemis Clock) | We have another opportunity to work with the OCC suits, the Orion crew survival system suits. We had the crew suit up in those just a couple of days ago and obviously this is a major part of the mission because the crew launches in these suits as well as splashes down in them.
07/04/2026 - 20:43:02 (-3 TMZ) | 06:01:08:02 (Artemis Clock) | Figuring out how to put them on and take them off in space, especially in the event of any sort of a cabin depressurization in which these suits would become essentially a private spacecraft allowing the crew to have a breathing environment for six days, it's very important to us to best understand
07/04/2026 - 20:43:07 (-3 TMZ) | 06:01:08:07 (Artemis Clock) | understand how these suits work in that environment.
07/04/2026 - 20:43:33 (-3 TMZ) | 06:01:08:33 (Artemis Clock) | We're tracking a potential manual piloting demonstration. We saw this just a couple of days ago when a couple of the crew members were able to manually control the spacecraft, continuing to teach us about how Orion flies in space.
07/04/2026 - 20:44:14 (-3 TMZ) | 06:01:09:14 (Artemis Clock) | Integrity tank pressures are good for the burn.
07/04/2026 - 20:44:20 (-3 TMZ) | 06:01:09:20 (Artemis Clock) | Integrity calls.
07/04/2026 - 20:45:48 (-3 TMZ) | 06:01:10:48 (Artemis Clock) | Recent calls from the ground to the crew letting them know that we've had good systems checks aboard the spacecraft. Of course, we remain go for that upcoming RTC-1 burn, Return Trajectory Correction 1. These are such small burns that sometimes they are canceled. We did see that on the way out. These are called outbound trajectory
07/04/2026 - 20:46:08 (-3 TMZ) | 06:01:11:08 (Artemis Clock) | Necessary due to the current trajectory aboard Orion.
07/04/2026 - 20:46:28 (-3 TMZ) | 06:01:11:28 (Artemis Clock) | return burn as well.
07/04/2026 - 20:47:10 (-3 TMZ) | 06:01:12:10 (Artemis Clock) | Okay, we show the same stem.
07/04/2026 - 20:47:36 (-3 TMZ) | 06:01:12:36 (Artemis Clock) | place these saws, or solar array wings, in a locked position so that no loads imparted on them by the thrusters can damage them.
07/04/2026 - 20:47:56 (-3 TMZ) | 06:01:12:56 (Artemis Clock) | experiments, including on the crew themselves. Here's a little more about the science of the mission.
07/04/2026 - 20:48:08 (-3 TMZ) | 06:01:13:08 (Artemis Clock) | Artemis II is our return of humans to the Moon, flying around the Moon on board Orion, but along with that, we're doing a lot of great science. One of the exciting things about the Artemis missions to the Moon is that science is actually a fundamental pillar of why we explore, why we're going, what we're doing in Artemis.
07/04/2026 - 20:48:35 (-3 TMZ) | 06:01:13:35 (Artemis Clock) | science writing along with the astronauts. We have astronauts looking outside the window and really observing the lunar surface. It will help us understand the deep space environment, it will help us understand how that environment affects our astronauts, our systems, and life in general. So deep space is a challenge for us because you have to leave
07/04/2026 - 20:49:00 (-3 TMZ) | 06:01:14:00 (Artemis Clock) | to the moon, they'll no longer be protected, so they'll have a higher radiation exposure. Much like Artemis 1, we have so many radiation sensors and detectors that are inside the capsule so that we can fully understand and appreciate the radiation environment for protecting our astronauts. In my hand here, I'm holding a tissue.
07/04/2026 - 20:49:26 (-3 TMZ) | 06:01:14:26 (Artemis Clock) | from each of the crew members and we can make these organ chips out of the astronauts themselves. So every crew member will have their own avatar on board and then upon return we can evaluate that deep space radiation environment and what that compares to the astronaut themselves. Not only are they going to help
07/04/2026 - 20:49:32 (-3 TMZ) | 06:01:14:32 (Artemis Clock) | change the course of medicine for the astronauts, but revolutionizing that on Earth as well.
07/04/2026 - 20:49:58 (-3 TMZ) | 06:01:14:58 (Artemis Clock) | the environment. We're also looking at the immune system, so what are the biomarkers? We're using saliva as a method to study hormones and different things in your body that may change during a mission like this. And then finally, how do we function after microgravity, you know, being close to the Moon and returning to Earth?
07/04/2026 - 20:50:24 (-3 TMZ) | 06:01:15:24 (Artemis Clock) | Having human eyeballs and brains back around the moon is going to unlock a new generation of lunar science discovery. The human eyeball is capable of taking in so much data in just a split second. They'll be able to tackle impact history, volcanic history, they'll be able to look at
07/04/2026 - 20:50:50 (-3 TMZ) | 06:01:15:50 (Artemis Clock) | We're integrating science in ways that have never been integrated into human exploration before. We have a front room mission control flight controller position called the science officer. We have a brand new science backroom where it's basically our brain trust of lunar scientists and geologists supporting the crews of the future. And Artemis II will allow us to really...
07/04/2026 - 20:51:16 (-3 TMZ) | 06:01:16:16 (Artemis Clock) | They're small shoebox-sized spacecraft of their own. They're each provided by another country, one of our partners. As they conduct their research, they'll complement what we are doing at the moon with Orion. It is so incredibly exciting to be a part of this mission. It has been, you know, really one of the privileges of a lifetime.
07/04/2026 - 20:51:22 (-3 TMZ) | 06:01:16:22 (Artemis Clock) | I can see the world.
07/04/2026 - 20:51:23 (-3 TMZ) | 06:01:16:23 (Artemis Clock) | work I'm doing benefit crew members right now.
07/04/2026 - 20:51:33 (-3 TMZ) | 06:01:16:33 (Artemis Clock) | and benefit the crew members in the future. So it's incredibly exciting, and it's very rewarding. As this rocket launches Humanity off of the Earth, we'll be setting the stage through our science to prepare Humanity to leave Earth and explore the solar system.
07/04/2026 - 20:51:39 (-3 TMZ) | 06:01:16:39 (Artemis Clock) | Understood, Stan.
07/04/2026 - 20:52:06 (-3 TMZ) | 06:01:17:06 (Artemis Clock) | Live here in the Artemis Mission Control Room, we are 11 minutes away from the RTC-1, return trajectory correction 1 burn. We did hear some cautions from the crew systems about a propulsion system issue. The team is discussing whether or not
07/04/2026 - 20:52:12 (-3 TMZ) | 06:01:17:12 (Artemis Clock) | This is an optocoupler issue or something in the prop system.
07/04/2026 - 20:52:32 (-3 TMZ) | 06:01:17:32 (Artemis Clock) | Okay, integrity copies.
07/04/2026 - 20:53:03 (-3 TMZ) | 06:01:18:03 (Artemis Clock) | Currently the Orion spacecraft is maneuvering to its burn attitude.
07/04/2026 - 22:05:24 (-3 TMZ) | 06:02:30:24 (Artemis Clock) | And voice check on Madrid after the LOS.
07/04/2026 - 22:05:48 (-3 TMZ) | 06:02:30:48 (Artemis Clock) | We're with you, Stan. We got you loud and clear. During the forward LOS, we copied your call for the RAC_ESTO. Jeremy, we copied your call about the prop valves in 12.2.2509 and your plan that if you needed prop, you would open Nox Helium.
07/04/2026 - 22:05:54 (-3 TMZ) | 06:02:30:54 (Artemis Clock) | Solve one, and we were good with both of those conclusions. And we have more software words when you're ready.
07/04/2026 - 22:06:46 (-3 TMZ) | 06:02:31:46 (Artemis Clock) | Okay, Stan, we're ready for those words. Go ahead. Alright, for the pop cautions, it's still an evolving story. We had a failure function that should have been inhibited. Even left enabled, we did not see its trigger conditions being met, yet it executed. So we are running tests starting now to understand.
07/04/2026 - 22:06:58 (-3 TMZ) | 06:02:31:58 (Artemis Clock) | Can this better? That to swap branches and turned off two PRUs, and we're putting the recovery steps for that system in work again, starting now. Current thinking is that we'll disable that filler for future burns.
07/04/2026 - 22:07:34 (-3 TMZ) | 06:02:32:34 (Artemis Clock) | Flight software checks which burn type you are doing before the burn and not after, and when the software does its engine check, if the OME actuators are on, it assumes you're doing an OMS burn and will command a post-burn gimbal check. So today the actuators were on for the TBC motion checks that we were doing earlier in the day.
07/04/2026 - 22:07:40 (-3 TMZ) | 06:02:32:40 (Artemis Clock) | Okay, so despite doing an RCS burn, we got a post-burn gimbal check.
07/04/2026 - 22:08:00 (-3 TMZ) | 06:02:33:00 (Artemis Clock) | Okay, Stan, understood. No impact on that, but an interesting item to know about. Thanks for that.
07/04/2026 - 22:08:07 (-3 TMZ) | 06:02:33:07 (Artemis Clock) | We take it seriously when the software doesn't do what we expect. That's all we've got for you. It's good to have you back.
07/04/2026 - 22:08:18 (-3 TMZ) | 06:02:33:18 (Artemis Clock) | Okay, and then what configuration do you plan to put the valves in at this point?
07/04/2026 - 22:09:01 (-3 TMZ) | 06:02:34:01 (Artemis Clock) | Okay, and I thought I heard two different procedure numbers, so can you just read that back again? 30.52.2200
07/04/2026 - 22:09:27 (-3 TMZ) | 06:02:34:27 (Artemis Clock) | We're not going to get into that procedure. We're going to get into some other stuff, but what will be the end configuration for those helium valves?
07/04/2026 - 22:09:48 (-3 TMZ) | 06:02:34:48 (Artemis Clock) | All other helium branch open.
07/04/2026 - 22:09:53 (-3 TMZ) | 06:02:34:53 (Artemis Clock) | Okay, understood that. And what about inhibiting? Why anything be inhibited?
07/04/2026 - 22:09:55 (-3 TMZ) | 06:02:34:55 (Artemis Clock) | Checking.
07/04/2026 - 22:10:21 (-3 TMZ) | 06:02:35:21 (Artemis Clock) | Jeremy, all four helium isles will be enabled, but only oxy-Helium 1 will be closed.
07/04/2026 - 22:10:40 (-3 TMZ) | 06:02:35:40 (Artemis Clock) | Understood, all enabled and Aux Helium 1 closed. Appreciate those insights.
07/04/2026 - 22:10:51 (-3 TMZ) | 06:02:35:51 (Artemis Clock) | Good readback.
07/04/2026 - 22:11:13 (-3 TMZ) | 06:02:36:13 (Artemis Clock) | Seeing Hox helium isolation valve 1 inhibited, closed and inhibited, which is not what we were expecting from the daily summary, and we just wanted to make sure that that was clear to you and that's what you were seeing as well.
07/04/2026 - 22:11:24 (-3 TMZ) | 06:02:36:24 (Artemis Clock) | Yeah, sorry, Jimmy, we inhibited that valve from the ground earlier and we should have told you about it.
07/04/2026 - 22:11:46 (-3 TMZ) | 06:02:36:46 (Artemis Clock) | Okay, all right, that closes all the loops for us. We're doing good up here. Everything feels great and we're just working through our timeline. Appreciate it. A pleasure. And FYI, we're doing team handover to orbit 2 as we speak.
07/04/2026 - 22:12:03 (-3 TMZ) | 06:02:37:03 (Artemis Clock) | Copy that. Thanks everyone, and looking forward to working with Orbit 2.
07/04/2026 - 22:12:09 (-3 TMZ) | 06:02:37:09 (Artemis Clock) | One more question for you. We're 18 minutes out from an attitude maneuver and wondering what the exercise plan is.
07/04/2026 - 22:12:46 (-3 TMZ) | 06:02:37:46 (Artemis Clock) | We were a bit late getting to that exercise. The intention was to still do it. Do you, can we do exercise through the CCU dump? Any restrictions on that?
07/04/2026 - 22:12:52 (-3 TMZ) | 06:02:37:52 (Artemis Clock) | Checking.
07/04/2026 - 22:13:08 (-3 TMZ) | 06:02:38:08 (Artemis Clock) | And while you're checking that stand, if you guys could just city feet raise for us from the ground, we'd appreciate it.
07/04/2026 - 22:13:40 (-3 TMZ) | 06:02:38:40 (Artemis Clock) | So Jeremy, we can't exercise during attitude maneuvers, and we have an attitude maneuver at the beginning and at the end of the CCU activity that's coming up here. So I think we're going to have to shift exercise to the far side of the CCU dome.
07/04/2026 - 22:14:03 (-3 TMZ) | 06:02:39:03 (Artemis Clock) | All right, we will sync you up on what the plan is. We may start the exercise before the CCU dump if you're okay with that, and then cease it prior to your maneuvers, if that works for you.
07/04/2026 - 22:14:23 (-3 TMZ) | 06:02:39:23 (Artemis Clock) | Copy, we'll give you a two-minute warning for stopping exercise to allow the arrays to damp and then do the attitude maneuver.
07/04/2026 - 22:14:29 (-3 TMZ) | 06:02:39:29 (Artemis Clock) | Basically you only have ten minutes before you'd have to stop.
07/04/2026 - 22:14:54 (-3 TMZ) | 06:02:39:54 (Artemis Clock) | for the CCU dump. We'll pick it up on the other side, please.
07/04/2026 - 22:15:16 (-3 TMZ) | 06:02:40:16 (Artemis Clock) | The suggestion is to defer exercise till after the CCU dump.
07/04/2026 - 22:15:18 (-3 TMZ) | 06:02:40:18 (Artemis Clock) | Yes, thank you.
07/04/2026 - 22:15:42 (-3 TMZ) | 06:02:40:42 (Artemis Clock) | This is Artemis Mission Control with a mission elapsed time of 6 days, 2 hours, and 40 minutes into the Artemis II flight.
07/04/2026 - 22:16:04 (-3 TMZ) | 06:02:41:04 (Artemis Clock) | We have regained forward link LOS or forward link contact with the crew, I should say, meaning we can now send communications and commands to the Orion spacecraft. Again, this was a tracked LOS whenever we understood that we would not have that capability for about an hour. However, we did have spacecraft...
07/04/2026 - 22:16:21 (-3 TMZ) | 06:02:41:21 (Artemis Clock) | data and communications that entire time. Just before the RTC-1, that return trajectory correction burn, now an hour and 12 minutes ago, the crew received some cautions on their screen about the prop system.
07/04/2026 - 22:16:38 (-3 TMZ) | 06:02:41:38 (Artemis Clock) | The conversation from Capcom Stan Love here in Mission Control Houston to the crew explaining some of those cautions and why they received them and that they are putting recovery steps for that system in work.
07/04/2026 - 22:16:43 (-3 TMZ) | 06:02:41:43 (Artemis Clock) | There was some also unexpected software commanding, and the team is taking a look into that, but the vehicle is in a good condition.
07/04/2026 - 22:17:05 (-3 TMZ) | 06:02:42:05 (Artemis Clock) | You also heard the CAPCOM crew walking through a little bit of the rest of the day. Again, it's been a pretty quiet day for the crew, as they were very busy yesterday during a lunar flyby. Now for the rest of the day, they will get into some exercise. A crew member will get the chance to speak with their family.
07/04/2026 - 22:17:21 (-3 TMZ) | 06:02:42:21 (Artemis Clock) | They'll also have their private medical conferences before going to bed tonight. These are conferences that are routinely scheduled throughout spaceflight to ensure the ground and the astronauts have a chance to check in on how everyone is feeling.
07/04/2026 - 22:17:48 (-3 TMZ) | 06:02:42:48 (Artemis Clock) | over to the Orbit Two team, so I'll also be handed over to my friend Ana Schneider. Reminder that our coverage is live 24/7 on NASA's YouTube, so don't go anywhere because we are here until the crew is splashed down and recovered off the coast of California.
07/04/2026 - 22:24:16 (-3 TMZ) | 06:02:49:16 (Artemis Clock) | The orbit two team tonight will be led by Flight Director Fiona Cugley and the CAPCOM, or capsule communicator, will be Tess Caswell.
07/04/2026 - 22:24:43 (-3 TMZ) | 06:02:49:43 (Artemis Clock) | three wing cameras. That spacecraft and its crew are currently about 55,000 miles away from the moon and about 222,000 miles away from the Earth. Following yesterday's lunar flyby, they are now in the return leg of their journey with an expected splashdown on.
07/04/2026 - 22:24:59 (-3 TMZ) | 06:02:49:59 (Artemis Clock) | Friday, April 10th. The crew has an off-duty day today, so there's very minimal timeline tasks for them. However, the first return trajectory correction burn, or RTC-1 burn, was recently completed at 7:03 p.m. Central time, 8:03 p.m. Eastern time.
07/04/2026 - 22:25:31 (-3 TMZ) | 06:02:50:31 (Artemis Clock) | will take place on flight day 10 about five hours before entry interface once the crew has begun working through their preparations for coming home. So while it's an off-duty day for the remainder of the day, the crew will complete their daily exercise using the flywheel exercise device onboard the Orion spacecraft, but otherwise,
07/04/2026 - 22:25:36 (-3 TMZ) | 06:02:50:36 (Artemis Clock) | They mostly have free time to do as they choose before preparing for sleep.
07/04/2026 - 22:27:50 (-3 TMZ) | 06:02:52:50 (Artemis Clock) | Integrity Houston, two minutes to the maneuver to the CCU dump attitude.
07/04/2026 - 22:28:18 (-3 TMZ) | 06:02:53:18 (Artemis Clock) | And Ike, while I've got you, we have two requests for you on this activity.
07/04/2026 - 22:28:44 (-3 TMZ) | 06:02:53:44 (Artemis Clock) | All right, if you would please just let us know when you start and stop the event, and how many CCUs you dump if it's more than one.
07/04/2026 - 22:29:21 (-3 TMZ) | 06:02:54:21 (Artemis Clock) | Okay, I will let you know. I plan to dump two CCUs, and I will let you know when I start and when I stop. And just confirm, through the maneuver, though, we are still go for CCU dumps until then.
07/04/2026 - 22:29:43 (-3 TMZ) | 06:02:54:43 (Artemis Clock) | And Victor, if you would please pause on any dumping until we get to the timelined activity.
07/04/2026 - 22:30:15 (-3 TMZ) | 06:02:55:15 (Artemis Clock) | Okay, we copy. We have paused secondary line dumping.
07/04/2026 - 22:30:20 (-3 TMZ) | 06:02:55:20 (Artemis Clock) | Thank you.
07/04/2026 - 22:31:09 (-3 TMZ) | 06:02:56:09 (Artemis Clock) | This is Artemis Mission Control. You're seeing a live look of the Orion spacecraft as it makes its return journey back home to Earth. You just heard some communication between the crew, namely NASA astronaut Victor Glover and the CAPCOM, or capsule communicator, here in Mission Control Houston, which for orbit two is Tess Caswell.
07/04/2026 - 22:31:29 (-3 TMZ) | 06:02:56:29 (Artemis Clock) | contingency urinals, and they typically vent that liquid overboard each day. So they are in the process of preparing for that upcoming vent overboard.
07/04/2026 - 22:36:40 (-3 TMZ) | 06:03:01:40 (Artemis Clock) | And this is Artemis Mission Control in Houston, Texas. You can currently see a live view of that Orion spacecraft as it performs a small attitude maneuver to get it into position to perform an upcoming waste water dump.
07/04/2026 - 22:40:17 (-3 TMZ) | 06:03:05:17 (Artemis Clock) | Houston Integrity, we have dropped a VC call. Can you please redial?
