06/04/2026 - 19:35:08 (-3 TMZ) | 05:00:00:08 (Artemis Clock) | Okay, impact flashes, zip reps in the blind. We got it.
06/04/2026 - 19:40:35 (-3 TMZ) | 05:00:05:35 (Artemis Clock) | doing their work photographing the lunar surface, and they will reemerge and we will also get this view on the other side.
06/04/2026 - 19:41:44 (-3 TMZ) | 05:00:06:44 (Artemis Clock) | Just about a minute and a half now until we lose communication with the astronauts aboard Orion on the Artemis 2 mission. Now five days and six minutes since their launch on April 1st.
06/04/2026 - 19:41:50 (-3 TMZ) | 05:00:06:50 (Artemis Clock) | Again, we'll be out of communication for about forty minutes.
06/04/2026 - 19:42:01 (-3 TMZ) | 05:00:07:01 (Artemis Clock) | And this really beautiful view of a crescent moon and a crescent Earth. How great thou art.
06/04/2026 - 19:42:39 (-3 TMZ) | 05:00:07:39 (Artemis Clock) | Thirty seconds now until we expect loss of signal.
06/04/2026 - 19:44:14 (-3 TMZ) | 05:00:09:14 (Artemis Clock) | loss of signal of the Orion spacecraft as it flies behind the moon. We expect to regain communications with them for in another approximately 40 minutes. This was expected as their spacecraft is now out of direct line of sight with Earth and behind the moon. This is a poignant moment as it's the first.
06/04/2026 - 19:44:48 (-3 TMZ) | 05:00:09:48 (Artemis Clock) | flyby all day as the team has continued capturing targets on the lunar surface.
06/04/2026 - 19:45:09 (-3 TMZ) | 05:00:10:09 (Artemis Clock) | but not expecting.
06/04/2026 - 19:45:36 (-3 TMZ) | 05:00:10:36 (Artemis Clock) | 4,067 statute miles above the lunar surface. Their maximum Earth altitude will be reached just two minutes later, at 5 days, 27 minutes, and 39 seconds, when their altitude should be approximately 252,756 statute miles.
06/04/2026 - 19:46:18 (-3 TMZ) | 05:00:11:18 (Artemis Clock) | Throughout the Artemis II mission, astronaut voice, images, video, and vital mission data must traverse thousands of miles, carried on signals from NASA's powerful communications systems, the Near Space Network and the Deep Space Network. Let's learn a little bit more.
06/04/2026 - 19:46:34 (-3 TMZ) | 05:00:11:34 (Artemis Clock) | NASA's Artemis 2 will send four astronauts around the moon, preparing humanity for a long-term lunar presence and future journeys to Mars. Enabling communication and navigation for this test flight are NASA's Near Space Network and Deep Space Network.
06/04/2026 - 19:47:16 (-3 TMZ) | 05:00:12:16 (Artemis Clock) | exchanging support as the mission shoots toward the Moon. On the launch pad and during their early orbit phases, NASA's Orion spacecraft and Space Launch System rocket will rely on communications and tracking services from the Near Space Network. After its translunar injection burn, the Deep Space Network's global array
06/04/2026 - 19:47:43 (-3 TMZ) | 05:00:12:43 (Artemis Clock) | Farther into space and away from Earth, signal strength weakens and bandwidth is conserved for crew communications. The astronauts will have a near-constant connection to Earth, ensuring their safety on a journey farther into space than ever before. We say near-constant because as Orion...
06/04/2026 - 19:48:15 (-3 TMZ) | 05:00:13:15 (Artemis Clock) | Periodically transmit Orion data to showcase the benefits laser communications could have for future human spaceflight missions. The data from Orion, sent by radio signals or laser links, is massive. The mission is gathering images, data, and video, while also generating details about mission health.
06/04/2026 - 19:48:47 (-3 TMZ) | 05:00:13:47 (Artemis Clock) | with each moon mission. With the Artemis II test flight, we are evaluating the communications infrastructure that will help carry us into the future as we explore the moon and journey forward to Mars.
06/04/2026 - 19:50:01 (-3 TMZ) | 05:00:15:01 (Artemis Clock) | And in the meantime, I've got Dr. Kelsey Young, Artemis Science Flight Operations Lead, here with us. Thanks for joining me, Kelsey. Thanks for having me. This is such an exciting day. Oh, no kidding. It has been so cool to hear you communicating directly with the crew, and I know that you have been preparing for this for years, so I am so excited for you and for your team.
06/04/2026 - 19:50:27 (-3 TMZ) | 05:00:15:27 (Artemis Clock) | My background is as a field geologist. Actually, I studied impact cratering in the field for my PhD, so all these descriptions of impact craters have me just absolutely swooning. How I got into this, though, is, you know, during my PhD, I got an internship at NASA and ultimately never left to integrate science into flight operations, so.
06/04/2026 - 19:50:44 (-3 TMZ) | 05:00:15:44 (Artemis Clock) | We developed the Science Officer Console, for which this is the first mission we're supporting. We developed the Science Evaluation Room that's right upstairs. And so it's so gratifying to see this operation structure come to fruition, especially on a day like today. I would have to imagine so. And we've got a great view of the Science Evaluation Room right now.
06/04/2026 - 19:51:23 (-3 TMZ) | 05:00:16:23 (Artemis Clock) | Just to highlight maybe one of them, we heard about greenish and brownish hues near Aristarcus, which is actually a feature that we can see here from the near side. And those greenish hues could actually tell us something about the volcanic evolution of that area. So you can bet that the science team is going to be prioritizing downlinking those images and the crew.
06/04/2026 - 19:51:55 (-3 TMZ) | 05:00:16:55 (Artemis Clock) | 250,000 miles away, we don't see green or brown. So just hearing that them being so close and getting to see that, fascinating. And I know very exciting for you. So what are you expecting to see in the upcoming portion of the flyby? The upcoming portion is actually going to be really exciting. So right now, as we speak, while
06/04/2026 - 19:52:36 (-3 TMZ) | 05:00:17:36 (Artemis Clock) | of dust, which tell us about the modern lunar environment. Then the vehicle is going to orient away from the moon for an hour and then pivot back for the eclipse observations, which is a whole different set of science observations that we're really looking forward to. It's kind of nice that the crew will get a little break in there because they have been hitting it hard today with photos and videos.
06/04/2026 - 19:53:02 (-3 TMZ) | 05:00:18:02 (Artemis Clock) | That's a hard question to answer. I mean, we've already gotten such great descriptions. I mean, the terminator seems to just be like one of their favorite things to look at and describe. So I feel like, you know, that was something we were looking forward to. I feel like we really got some great descriptions. So absolutely, I'm looking to the human moment of Earthrise. Lofted dust is...
06/04/2026 - 19:53:34 (-3 TMZ) | 05:00:18:34 (Artemis Clock) | Just in the course of their flyby so far, how the moon has changed. And this is going to be an even more dramatic change to go from the end of this kind of lunar illuminated piece of the flyby into the eclipse time frame. And I can tell you they're going to be experiencing a very different moon during that time. And I can't wait.
06/04/2026 - 19:54:16 (-3 TMZ) | 05:00:19:16 (Artemis Clock) | No matter what, but it's a really neat opportunity to, you know, bring the sun into the picture, bring different planetary bodies into the picture while still literally keeping the moon in center stage. Fascinating. So what differences are we looking for at each site? We're hearing a lot of different terms. We're looking at craters. We're looking at mare. What are the differences?
06/04/2026 - 19:54:59 (-3 TMZ) | 05:00:19:59 (Artemis Clock) | I can really detect different nuances, and that's something that we experienced in simulations, but hearing them actually, you know, see it for real has been really gratifying. But we're looking for different things based on the target. Sometimes we're looking for color. Sometimes we're looking for texture. For the Terminator, we're looking at kind of what...
06/04/2026 - 19:55:26 (-3 TMZ) | 05:00:20:26 (Artemis Clock) | So already, I think that their descriptions in this first part of the flyby have told us something scientifically, but also about future surface missions. Well, it was so interesting to hear Victor talking about, he was imagining, in his mind's eye, being down on the surface and walking around. That was very cool to hear. And when we're thinking about targeting...
06/04/2026 - 19:56:23 (-3 TMZ) | 05:00:21:23 (Artemis Clock) | We have seen Ushko Crater twice, and that, looking at it from different illumination angles, allows us to understand that feature better and connect color and albedo with topography and morphology. Then you have other craters where you want to look at it with the sun shining on it obliquely versus straight on, and that tells you something different.
06/04/2026 - 19:56:51 (-3 TMZ) | 05:00:21:51 (Artemis Clock) | In this short timeframe, of those craters in different lighting conditions could take years for something robotic to be able to do based on attitude maneuvers and where the sun is at. So can you just talk a little bit about the importance of having both the robotic operation and having the crew? Absolutely. We definitely.
06/04/2026 - 19:57:18 (-3 TMZ) | 05:00:22:18 (Artemis Clock) | from LRO and its payloads have really been instrumental in getting us, frankly, to this point for Artemis II and future missions, but the human experience, the crew observations that we've already been hearing about, it is such a perfect complement to the orbiting spacecraft data because they are able to have this unique perspective. They are...
06/04/2026 - 19:57:34 (-3 TMZ) | 05:00:22:34 (Artemis Clock) | far enough away where they can make these contextual observations. You've already heard it. How many times have we heard the crew in their science sit-rep say, if I track this feature from all the way up here in the northern hemisphere down to the southern hemisphere, here are comparisons I can make. That right there is not something we had the ability to do with the Apollo missions, and it...
06/04/2026 - 19:57:56 (-3 TMZ) | 05:00:22:56 (Artemis Clock) | Hours just literally in the blink of an eye to synthesize observations that it would take, you know, a really significant effort to coordinate with different orbiting platforms, and they're making it like that. Wow, it has been a very, very exciting to hear all of their calls so far. And so I've heard they were able to capture...
06/04/2026 - 19:58:23 (-3 TMZ) | 05:00:23:23 (Artemis Clock) | We've been hearing from the crew members who are not at the forward windows, right? Those crew who are, you know, really in the thick of the observations, they are recording minutes-long observations per target on their crew tablets. We will be getting those down starting here in a couple hours, and that's going to contain really meaty science information.
06/04/2026 - 19:58:50 (-3 TMZ) | 05:00:23:50 (Artemis Clock) | One of the most gratifying things for me today is hearing multiple crew members say, thank you for putting the discussion times in the targeting plan, because when we have had the ability to put multiple brains on a problem, we have elevated each other. And I'm looking forward to them, you know, sleeping on it overnight, and then us actually being able...
06/04/2026 - 19:59:16 (-3 TMZ) | 05:00:24:16 (Artemis Clock) | able to share tomorrow. So Kelsey, I know you are very busy. You've done a great job today and thank you so much for joining us for this interview. Thanks for having me. It's such an exciting day.
06/04/2026 - 19:59:27 (-3 TMZ) | 05:00:24:27 (Artemis Clock) | We are now expecting acquisition of signal in about 24 minutes. As a reminder, the Orion spacecraft has flown around the other side of the moon where they are out of contact with our Deep Space Network.
06/04/2026 - 20:01:50 (-3 TMZ) | 05:00:26:50 (Artemis Clock) | and sixty-seven statute miles above the moon.
06/04/2026 - 20:02:35 (-3 TMZ) | 05:00:27:35 (Artemis Clock) | to take photos of those and describe why they were interesting. Something else that they'll be looking toward next, just momentarily, will be impact flashes. They've got a few minutes allotted to look at the darkest portions of the moon. They're interested in short-lived flashes on the lunar surface because these
06/04/2026 - 20:02:39 (-3 TMZ) | 05:00:27:39 (Artemis Clock) | This would be caused by impact bombardment.
06/04/2026 - 20:02:57 (-3 TMZ) | 05:00:27:57 (Artemis Clock) | lunar dust. This would only be visible just before Earthrise.
06/04/2026 - 20:04:00 (-3 TMZ) | 05:00:29:00 (Artemis Clock) | We're live in Mission Control Houston at NASA's Johnson Space Center, but there's a team over 750 miles away also monitoring today's operations. And of course, just like us, they are in LOS, or loss of signal with the spacecraft. This is LUCA, the Lunar Utilization Control Area, and it's joined by LISA.
06/04/2026 - 20:04:28 (-3 TMZ) | 05:00:29:28 (Artemis Clock) | in Huntsville, Alabama. The LUCa and LISA are right next to each other and just a short walk away from the SLS Engineering Support Center, which is used during launch, and the POIC, where science on the International Space Station is monitored. LUCa primarily supports Artemis science operations while LISA will provide engineering support.
06/04/2026 - 20:04:55 (-3 TMZ) | 05:00:29:55 (Artemis Clock) | complete various tasks. The data from these science operations will inform future crewed flights to the Moon.
06/04/2026 - 20:05:12 (-3 TMZ) | 05:00:30:12 (Artemis Clock) | For future crewed missions to the Moon, members of the NASA Human Landing System Mission Insights Support Team – a group of engineers, safety leads, flight operations experts, and technical authorities, will work in the LISA. There, they will monitor lander systems in real-time and be involved in key decision-making processes throughout the mission.
06/04/2026 - 20:05:18 (-3 TMZ) | 05:00:30:18 (Artemis Clock) | Teams are using the LISA during Artemis II to observe mission operations and using the opportunity to inform and prepare for future crewed landings to the Moon’s surface.
06/04/2026 - 20:06:57 (-3 TMZ) | 05:00:31:57 (Artemis Clock) | topographic maps of the lunar terrain and photorealistic lighting scenarios. The Artemis II crew members have been using these visualizations to prepare for this historic mission which is paving the way for future exploration of the moon's surface and beyond. So the most exciting thing to me about Artemis
06/04/2026 - 20:07:23 (-3 TMZ) | 05:00:32:23 (Artemis Clock) | that haven't been seen by anyone before. It also recommits us to exploring the solar system in a way that we haven't in a long time. And I think it provides an opportunity for younger generations to understand the excitement of doing that kind of exploration.
06/04/2026 - 20:08:00 (-3 TMZ) | 05:00:33:00 (Artemis Clock) | Artemis is our return to the moon after 50 years. The emphasis of Artemis is going to be first of all science, but second of all learning to sustain a presence on another world, first on the moon, but we're hoping that that's a stepping stone to Mars and other destinations in the solar system.
06/04/2026 - 20:08:05 (-3 TMZ) | 05:00:33:05 (Artemis Clock) | Artemis II will be a flyby mission. It's not going to land. We're testing all of the technology that we've created for flying to the moon since Apollo. A lot of systems have been modernized and we need to make sure that all of those work. The astronauts will be looking out the window at parts of the moon.
06/04/2026 - 20:08:34 (-3 TMZ) | 05:00:33:34 (Artemis Clock) | Lighting, which we really won't know until launch day, but we can practice with different lighting scenarios. It's hard for people to sort of picture that in their mind. If you can make a visualization of it, show them a movie, that helps everybody choose the targets and also practice aiming at those targets. The astronauts.
06/04/2026 - 20:08:54 (-3 TMZ) | 05:00:33:54 (Artemis Clock) | the various targets.
06/04/2026 - 20:09:21 (-3 TMZ) | 05:00:34:21 (Artemis Clock) | Further north and south are places that they couldn't see in sunlight, either because it was nighttime there or because it was beyond the horizon of the astronauts. All of the Apollo flights orbited the moon at a distance of about 110 kilometers. Because the astronauts were flying at such a height,
06/04/2026 - 20:09:48 (-3 TMZ) | 05:00:34:48 (Artemis Clock) | And this whole area over here was not in sunlight at the time. And it includes this amazing impact feature here called Orientale. Orientale is a very large impact feature, it's about 650 kilometers wide. It's got multiple rings. These are rings that form.
06/04/2026 - 20:10:15 (-3 TMZ) | 05:00:35:15 (Artemis Clock) | So seeing it with human eyes and sort of picking out features that maybe you don't even see in robotic cameras is an important goal for the mission.
06/04/2026 - 20:10:47 (-3 TMZ) | 05:00:35:47 (Artemis Clock) | This live view in the Science Evaluation Room, or the SER, here at Johnson Space Center in Houston, Texas, just down the hall from where we're at in the Artemis Mission Control Room, teams continuing to monitor the flyby.
06/04/2026 - 20:11:19 (-3 TMZ) | 05:00:36:19 (Artemis Clock) | Right now they are imaging, or attempting to image lofted lunar dust. Throughout our coverage, we've talked a lot about the science and engineering behind today's lunar flyby, but we also spoke to the crew about what the moon means to them and how they see its place in human history.
06/04/2026 - 20:12:08 (-3 TMZ) | 05:00:37:08 (Artemis Clock) | I look at the moon, and I'd be halfway around the planet, I would think, man, my brother can see that moon where he is, and he's halfway around the planet from where I am. And it's a connection of life on Earth. We can all look up and see that moon. It represents history. It is a witness plate. Everything that's ever happened to the moon is still written on the moon.
06/04/2026 - 20:12:26 (-3 TMZ) | 05:00:37:26 (Artemis Clock) | There's no processes of wind or change in the earth, geologic processes like we have here that change it, and something that's been telling and can read out the story of its own evolution, there's something beautiful about that. I've also learned from
06/04/2026 - 20:12:57 (-3 TMZ) | 05:00:37:57 (Artemis Clock) | of protect the water source, just like the moon moves the water around the planet, affects the tides. It's something that represents something different for each individual culture around the planet, and that's really neat because we all share that same moon in the night sky. We all have seen the same...
06/04/2026 - 20:13:30 (-3 TMZ) | 05:00:38:30 (Artemis Clock) | One entity that we all know just is really special. It's just the epitome of a symbol of both something that's in each of our hearts, but this also represents exploration and reaching.
06/04/2026 - 20:14:08 (-3 TMZ) | 05:00:39:08 (Artemis Clock) | Space Center in Houston, Texas. We are currently out of contact with the Artemis II crew. This was a planned, or not really a planned, but a tracked loss of signal that occurs when the crew flies behind the moon.
06/04/2026 - 20:14:34 (-3 TMZ) | 05:00:39:34 (Artemis Clock) | only currently communicating with each other. Now, we expect to regain those communications in under nine minutes from now, and we also are hopeful for a view of Earthrise. Despite being out of communication, the crew is continuously capturing imagery of their predetermined lunar targets.
06/04/2026 - 20:16:14 (-3 TMZ) | 05:00:41:14 (Artemis Clock) | to anticipate regaining communications with the Artemis II crew aboard Orion. In the meantime, Artemis II Lunar Science Deputy Lead Marie Henderson is trained these astronauts to capture and document their views of the lunar surface for all of us to enjoy back here on Earth.
06/04/2026 - 20:16:41 (-3 TMZ) | 05:00:41:41 (Artemis Clock) | And I can hear them talk about seeing the moon out their window. I try to imagine it now, and it just, like, tear up thinking about it. Oh, now I got to hold on a second. We have human eyeballs connected to wonderfully smart brains our astronaut friends have.
06/04/2026 - 20:17:24 (-3 TMZ) | 05:00:42:24 (Artemis Clock) | on the lunar far side. That's a brand new, unique perspective that humans haven't been able to look at before. We are doing a lot of lunar geography training with them. They have study sessions and quizzes they can do that are assigned to them. You know, even if you're an astronaut, you still get homework. We actually get in the mock-up.
06/04/2026 - 20:17:49 (-3 TMZ) | 05:00:42:49 (Artemis Clock) | use their microphones to make these observations. There's four windows up front. Through one of those windows, one of our astronauts will be using a Nikon D5 camera with an 80 to 400 millimeter lens, so something that allows them to zoom in really far and actually take more detailed observations of the surface. It's almost like looking
06/04/2026 - 20:18:27 (-3 TMZ) | 05:00:43:27 (Artemis Clock) | the timeline of how they're going to be observed, and then taking the first look at the data when it comes down. The Apollo astronauts were only on the moon for 300 hours total, and they only went to the equator. That's like going to places that were safer landing sites, and they only saw so little 300 hours total.
06/04/2026 - 20:18:33 (-3 TMZ) | 05:00:43:33 (Artemis Clock) | And so we have so much more to explore and so much more to learn, and we are the beginning of the next generation that gets to start being a part of these discoveries.
06/04/2026 - 20:19:25 (-3 TMZ) | 05:00:44:25 (Artemis Clock) | days, 25 minutes, and 34 seconds, we expect this was the point in which they made their closest approach, 4,067 statute miles above the lunar surface.
06/04/2026 - 20:20:40 (-3 TMZ) | 05:00:45:40 (Artemis Clock) | but we are not the only room monitoring today's flyby, as you can see. This is the SER, the Science Evaluation Room. It's in the same building and just down the hall. It's a multidisciplinary science team supporting the Artemis 2 crew in real time, including experts in lunar geology,
06/04/2026 - 20:21:06 (-3 TMZ) | 05:00:46:06 (Artemis Clock) | The Science Evaluation Room is embedded within Mission Control to provide science input during live operations like what we see today, but additionally the Science Mission Operations Room is a backroom that processes data, evaluates imagery, and supports rapid analysis.
06/04/2026 - 20:21:27 (-3 TMZ) | 05:00:46:27 (Artemis Clock) | interface between the science team and the flight controllers, ensuring science priorities are represented during mission execution.
06/04/2026 - 20:21:49 (-3 TMZ) | 05:00:46:49 (Artemis Clock) | Coming up on one minute and thirty-six seconds until we contact Orion.
06/04/2026 - 20:22:21 (-3 TMZ) | 05:00:47:21 (Artemis Clock) | As we discussed earlier today, these activities have been precisely timelined and this is the fourth of five blocks of time during which the crew will be observing the moon from Orion's windows. At this time, Pilot Victor Glover and Mission
06/04/2026 - 20:22:26 (-3 TMZ) | 05:00:47:26 (Artemis Clock) | Specialist Christina Koch are observing the moon at windows two and three.
06/04/2026 - 20:22:59 (-3 TMZ) | 05:00:47:59 (Artemis Clock) | video recordings of what they are seeing.
06/04/2026 - 20:23:26 (-3 TMZ) | 05:00:48:26 (Artemis Clock) | Read Wiseman and Jeremy Hansen, those team members are providing science SITREPs, situation reports, calling down a few times each hour to discuss what they're observing. And even though we're out of contact with them right now, they are still conducting those science SITREPs as they'll be available once they come.
06/04/2026 - 20:23:53 (-3 TMZ) | 05:00:48:53 (Artemis Clock) | precisioned any missed targets or anything unexpected they saw. They're also including lunar target descriptions, any hardware issues, and their emotions and reactions.
06/04/2026 - 20:23:59 (-3 TMZ) | 05:00:48:59 (Artemis Clock) | Again, we are standing by to acquire signal from the Orion spacecraft.
06/04/2026 - 20:25:17 (-3 TMZ) | 05:00:50:17 (Artemis Clock) | We're in the Artemis mission control room at Johnson Space Center, getting our preliminary contact with Orion, that acquisition of signal coming after a 40-minute loss of signal during which the crew was flying behind the moon, out of contact with anyone on Earth.
06/04/2026 - 20:26:24 (-3 TMZ) | 05:00:51:24 (Artemis Clock) | and fifty-two thousand miles away.
06/04/2026 - 20:26:36 (-3 TMZ) | 05:00:51:36 (Artemis Clock) | With this transit complete, lunar flyby continues, but Orion has also technically begun its journey home.
06/04/2026 - 20:26:52 (-3 TMZ) | 05:00:51:52 (Artemis Clock) | Right now, the crew are getting a few moments to enjoy and take photos of Earthrise for themselves, and we expect to contact them shortly. But we do have good signal coming from Orion.
06/04/2026 - 20:28:15 (-3 TMZ) | 05:00:53:15 (Artemis Clock) | Earthrise
06/04/2026 - 20:28:21 (-3 TMZ) | 05:00:53:21 (Artemis Clock) | After this target, they will get a short observation break. It's about an hour long actually. Houston, Integrity, com check. Integrity, we have you loud and clear. Tell me.
06/04/2026 - 20:28:47 (-3 TMZ) | 05:00:53:47 (Artemis Clock) | The same, and it is so great to hear from Earth again. To Asia, Africa, and Oceania, we are looking back at you. We hear you can look up and see the moon right now. We see you too. When we burned this burn towards the moon, I said that we do not leave Earth, but we...
06/04/2026 - 20:29:04 (-3 TMZ) | 05:00:54:04 (Artemis Clock) | And that is true. We will explore, we will build, we will build ships, we will visit again. We will construct science outposts, we will drive rovers, we will do radio astronomy. We will found companies, we will bolster industry.
06/04/2026 - 20:29:26 (-3 TMZ) | 05:00:54:26 (Artemis Clock) | Integrity from Earth are single systems, fragile and interconnected. We copy. Those of us that can are looking back.
06/04/2026 - 20:29:36 (-3 TMZ) | 05:00:54:36 (Artemis Clock) | We are happy to say we copy.
06/04/2026 - 20:30:41 (-3 TMZ) | 05:00:55:41 (Artemis Clock) | With this burn, we do not leave Earth, we choose it. The translunar injection burn served as not only what put them on this trajectory to fly around the moon, but what also committed them to splashing down in the Pacific Ocean on flight day 10.
06/04/2026 - 20:31:09 (-3 TMZ) | 05:00:56:09 (Artemis Clock) | At this time, the crew is entering an observation break. We expect this to last about an hour, and it's probably a welcomed break following their very, very busy day taking pictures, making annotations, making audio recordings, and communicating all of the wonderful...
06/04/2026 - 20:31:14 (-3 TMZ) | 05:00:56:14 (Artemis Clock) | wonderful things that they are seeing on the moon.
06/04/2026 - 20:31:50 (-3 TMZ) | 05:00:56:50 (Artemis Clock) | we'll have communications with them during that eclipse timeframe.
06/04/2026 - 20:32:01 (-3 TMZ) | 05:00:57:01 (Artemis Clock) | Because of that eclipse, Orion's attitude must be changed right now so that its solar arrays are in the sun. This will help it charge the batteries needed to power it through that eclipse time frame.
06/04/2026 - 20:33:41 (-3 TMZ) | 05:00:58:41 (Artemis Clock) | Again, we are MET, Mission Elapsed Time, 5 days and 58 minutes since the launch of Artemis II.
06/04/2026 - 20:34:01 (-3 TMZ) | 05:00:59:01 (Artemis Clock) | entering a little bit of a break while they are out of visibility, or the moon is out of their visibility. The spacecraft will be reoriented to view the moon ahead of an upcoming eclipse.
06/04/2026 - 20:34:20 (-3 TMZ) | 05:00:59:20 (Artemis Clock) | through the eclipse.
06/04/2026 - 20:35:24 (-3 TMZ) | 05:01:00:24 (Artemis Clock) | There are Artemis II patches around. We are Earth-bound and ready to bring you home.
06/04/2026 - 20:35:46 (-3 TMZ) | 05:01:00:46 (Artemis Clock) | Good to see the light of day as we head back to sea.
06/04/2026 - 20:38:18 (-3 TMZ) | 05:01:03:18 (Artemis Clock) | are signifiers at their console. On one side of the patch that you've probably seen is the moon with the Earth behind it.
06/04/2026 - 20:38:45 (-3 TMZ) | 05:01:03:45 (Artemis Clock) | The Earth is closer and the moon is behind us. We are really looking forward to seeing the Artemis 2 crew. And the Capcom Jenny Gibbons did call that update up to the crew that the flight control team here has turned their patches around, as was instructed by the crew during that last sim, and we are counting down the days until
06/04/2026 - 20:39:07 (-3 TMZ) | 05:01:04:07 (Artemis Clock) | Artemis II mission.
06/04/2026 - 20:40:58 (-3 TMZ) | 05:01:05:58 (Artemis Clock) | Joining me here in the room, Artemis mission control, I have Angelic Garcia, Artemis II science officer. Thanks for being here, Angelica. - It is an honor to be here. What a day. Everyone's been buzzing. I can't contain myself, so it's been a really awesome day. - So you're sitting on...
06/04/2026 - 20:41:24 (-3 TMZ) | 05:01:06:24 (Artemis Clock) | Hi Integrity, we hear you. That was a little clipped, but I think we have a better link now. We experienced some blockage from a solar array. We moved it, and we are in bias, tail to sun.
06/04/2026 - 20:41:36 (-3 TMZ) | 05:01:06:36 (Artemis Clock) | Okay Houston, you're coming in loud and clear and copy, we're in biased telescope now.
06/04/2026 - 20:41:57 (-3 TMZ) | 05:01:06:57 (Artemis Clock) | Affirm, and Integrity, just so you know, we did not hear your response once we flipped our patches. Jeremy, we heard you call down that you were eclipsed, and then we briefly lost comms. Glad we're back.
06/04/2026 - 20:42:14 (-3 TMZ) | 05:01:07:14 (Artemis Clock) | Okay, copy that. We were just excited that we got to share in that, that you, the MER, and Mission Control flipped your patches around, and that that side of the patch is getting to see the light of day. Thanks for sharing that with us.
06/04/2026 - 20:42:19 (-3 TMZ) | 05:01:07:19 (Artemis Clock) | Our pleasure.
06/04/2026 - 20:43:03 (-3 TMZ) | 05:01:08:03 (Artemis Clock) | During the mission. And so the science officer console is a brand new console to mission control. And it's not every day that you get a new discipline incorporated into mission control, so it's been such a significant milestone for us. And it's just a testament to the commitment that the flight operations directorate...
06/04/2026 - 20:43:45 (-3 TMZ) | 05:01:08:45 (Artemis Clock) | the mission simulations. We were part of all of it, and that is what we did to get the crew to be, they are a part of the science team. They are the forefront, that nice edge, and they've just been doing such a great job today. I know. I imagine that you have to be pretty proud of them. Their reports have been fantastic.
06/04/2026 - 20:44:37 (-3 TMZ) | 05:01:09:37 (Artemis Clock) | And...
06/04/2026 - 20:44:44 (-3 TMZ) | 05:01:09:44 (Artemis Clock) | Yeah, it's been really great. What was the second part of your question? Just what kind of these science activities that they're performing, which of those have you really had a hand in? Yeah, so a lot of the procedures help organize what the crew is doing in the cabin. And I know we've talked a lot about, you know, what they've been doing, and they've been--
06/04/2026 - 20:45:10 (-3 TMZ) | 05:01:10:10 (Artemis Clock) | The crew is organized, the four crew members are organized into two pairs of two, the window team and the cabin team. And the lunar targeting package that you've been showing up and what the crew have on their handheld tablets is really the instructions for the window team. So the window team, the two crew members, are looking...
06/04/2026 - 20:45:36 (-3 TMZ) | 05:01:10:36 (Artemis Clock) | They're taking these detailed observations, and then halfway in that observation block, they do those, the window team position swap. So that's what Capcom's been calling out, and they'll switch positions, so each crew member has a chance to have that long lens. And then that's just what the window team is doing. There's also the cabin team.
